transaction_id,timestamp,amount,currency,status
TXN-00000001,2025-04-22T14:12:48+01:00,8477.92,USD,SUCCESS
TXN-00000002,2025-04-21T22:12:48+01:00,1552.38,USD,SUCCESS
TXN-00000003,2025-04-24T04:12:48+01:00,3259.68,EUR,SUCCESS
TXN-00000004,2025-04-03T15:12:48+01:00,9646.47,USD,SUCCESS
TXN-00000005,2025-04-13T10:12:48+01:00,1189.57,USD,SUCCESS
TXN-00000006,2025-04-13T06:12:48+01:00,2740.54,USD,SUCCESS
TXN-00000007,2025-04-01T20:12:48+01:00,8460.92,USD,SUCCESS
TXN-00000008,2025-04-19T23:12:48+01:00,6274.80,USD,SUCCESS
TXN-00000009,2025-04-19T18:12:48+01:00,2877.05,USD,SUCCESS
TXN-00000010,2025-04-23T21:12:48+01:00,4973.65,USD,SUCCESS
TXN-00000011,2025-04-08T22:12:48+01:00,3942.70,USD,SUCCESS
TXN-00000012,2025-04-10T10:12:48+01:00,4974.00,USD,SUCCESS
TXN-00000013,2025-04-16T01:12:48+01:00,6695.22,USD,SUCCESS
TXN-00000014,2025-04-12T19:12:48+01:00,2357.45,USD,FAILED
TXN-00000015,2025-03-31T15:12:48+01:00,8335.97,USD,SUCCESS
TXN-00000016,2025-04-18T19:12:48+01:00,2577.96,USD,SUCCESS
TXN-00000017,2025-04-09T19:12:48+01:00,1508.17,USD,SUCCESS
TXN-00000018,2025-04-21T01:12:48+01:00,4124.79,USD,SUCCESS
TXN-00000019,2025-04-28T00:12:48+01:00,273.31,USD,SUCCESS
TXN-00000020,2025-04-15T21:12:48+01:00,9215.25,GBP,SUCCESS
TXN-00000021,2025-04-18T23:12:48+01:00,4550.54,USD,SUCCESS
TXN-00000022,2025-04-23T06:12:48+01:00,5699.37,USD,SUCCESS
TXN-00000023,2025-04-20T09:12:48+01:00,7217.80,USD,SUCCESS
TXN-00000024,2025-04-14T16:12:48+01:00,5072.57,USD,SUCCESS
TXN-00000025,2025-04-11T14:12:48+01:00,251.57,GBP,SUCCESS
TXN-00000026,2025-04-21T02:12:48+01:00,3361.77,USD,SUCCESS
TXN-00000027,2025-04-23T11:12:48+01:00,4250.82,USD,SUCCESS
TXN-00000028,2025-04-01T09:12:48+01:00,3204.16,USD,SUCCESS
TXN-00000029,2025-04-23T09:12:48+01:00,3180.99,USD,SUCCESS
TXN-00000030,2025-04-15T13:12:48+01:00,3354.17,USD,SUCCESS
TXN-00000031,2025-04-05T17:12:48+01:00,4007.68,USD,SUCCESS
TXN-00000032,2025-04-23T22:12:48+01:00,152.04,USD,SUCCESS
TXN-00000033,2025-04-07T23:12:48+01:00,358.69,USD,PENDING
TXN-00000034,2025-04-11T12:12:48+01:00,3288.34,EUR,SUCCESS
TXN-00000035,2025-04-21T22:12:48+01:00,5326.90,USD,FAILED
TXN-00000036,2025-04-25T13:12:48+01:00,3668.77,USD,SUCCESS
TXN-00000037,2025-04-11T14:12:48+01:00,4297.92,USD,SUCCESS
TXN-00000038,2025-04-05T23:12:48+01:00,9627.01,USD,SUCCESS
TXN-00000039,2025-03-30T03:12:48+01:00,648.05,EUR,SUCCESS
TXN-00000040,2025-04-18T00:12:48+01:00,9848.55,USD,SUCCESS
TXN-00000041,2025-04-25T21:12:48+01:00,1015.86,USD,SUCCESS
TXN-00000043,2025-04-09T16:12:48+01:00,9563.50,USD,FAILED
TXN-00000044,2025-03-29T16:12:48+01:00,1080.74,EUR,SUCCESS
TXN-00000045,2025-04-10T05:12:48+01:00,2247.20,USD,FAILED
TXN-00000046,2025-04-03T15:12:48+01:00,1117.98,USD,SUCCESS
TXN-00000047,2025-04-25T01:12:48+01:00,5464.16,USD,SUCCESS
TXN-00000048,2025-04-02T15:12:48+01:00,2517.47,USD,SUCCESS
TXN-00000049,2025-04-19T04:12:48+01:00,3683.28,USD,SUCCESS
TXN-00000050,2025-04-23T14:12:48+01:00,1830.95,EUR,SUCCESS
TXN-00000051,2025-04-11T12:12:48+01:00,4663.84,USD,FAILED
TXN-00000052,2025-04-16T07:12:48+01:00,905.21,USD,SUCCESS
TXN-00000053,2025-04-04T22:12:48+01:00,9639.08,USD,SUCCESS
TXN-00000054,2025-04-27T06:12:48+01:00,291.55,USD,SUCCESS
TXN-00000055,2025-04-11T08:12:48+01:00,7005.47,EUR,SUCCESS
TXN-00000056,2025-04-09T15:12:48+01:00,348.54,USD,SUCCESS
TXN-00000057,2025-04-04T09:12:48+01:00,9944.14,USD,PENDING
TXN-00000058,2025-04-27T05:12:48+01:00,5640.07,USD,SUCCESS
TXN-00000059,2025-04-04T23:12:48+01:00,689.39,GBP,SUCCESS
TXN-00000060,2025-04-22T11:12:48+01:00,5267.04,USD,SUCCESS
TXN-00000061,2025-04-15T12:12:48+01:00,6755.13,USD,SUCCESS
TXN-00000062,2025-04-23T20:12:48+01:00,804.96,USD,SUCCESS
TXN-00000063,2025-04-15T07:12:48+01:00,2502.21,USD,SUCCESS
TXN-00000064,2025-04-27T08:12:48+01:00,9711.18,USD,SUCCESS
TXN-00000065,2025-04-14T08:12:48+01:00,9672.87,USD,SUCCESS
TXN-00000066,2025-04-13T19:12:48+01:00,8985.53,USD,SUCCESS
TXN-00000067,2025-04-16T16:12:48+01:00,6091.19,USD,SUCCESS
TXN-00000068,2025-04-05T17:12:48+01:00,5410.26,USD,SUCCESS
TXN-00000069,2025-04-10T18:12:48+01:00,4197.10,USD,FAILED
TXN-00000070,2025-04-24T20:12:48+01:00,8442.18,EUR,SUCCESS
TXN-00000071,2025-04-19T19:12:48+01:00,7270.31,GBP,FAILED
TXN-00000072,2025-04-13T22:12:48+01:00,4733.16,USD,SUCCESS
TXN-00000073,2025-04-22T21:12:48+01:00,2449.14,USD,SUCCESS
TXN-00000074,2025-04-17T04:12:48+01:00,5345.17,USD,SUCCESS
TXN-00000075,2025-04-24T22:12:48+01:00,1437.36,USD,SUCCESS
TXN-00000076,2025-04-18T14:12:48+01:00,1897.38,USD,SUCCESS
TXN-00000077,2025-04-16T19:12:48+01:00,4277.42,USD,SUCCESS
TXN-00000078,2025-04-09T00:12:48+01:00,1672.43,EUR,SUCCESS
TXN-00000079,2025-04-09T09:12:48+01:00,8899.20,GBP,SUCCESS
TXN-00000080,2025-04-02T14:12:48+01:00,613.79,USD,SUCCESS
TXN-00000081,2025-04-16T07:12:48+01:00,5921.22,USD,SUCCESS
TXN-00000082,2025-04-02T06:12:48+01:00,248.83,USD,SUCCESS
TXN-00000083,2025-04-03T11:12:48+01:00,114.12,USD,SUCCESS
TXN-00000084,2025-04-11T19:12:48+01:00,9756.86,USD,SUCCESS
TXN-00000085,2025-04-26T01:12:48+01:00,335.99,USD,SUCCESS
TXN-00000086,2025-04-18T23:12:48+01:00,3452.28,EUR,SUCCESS
